clade_name	paleofeces_SRR12557734_metaphlan_output	paleofeces_SRR12557733_metaphlan_output	paleofeces_SRR12557722_metaphlan_output	paleofeces_SRR12557711_metaphlan_output	paleofeces_SRR12557707_metaphlan_output	paleofeces_SRR12557706_metaphlan_output	paleofeces_SRR12557705_metaphlan_output	paleofeces_SRR12557704_metaphlan_output	soil_ERR3761406_metaphlan_output	soil_ERR3761405_metaphlan_output	soil_ERR3761404_metaphlan_output	soil_ERR3761403_metaphlan_output	soil_ERR3761402_metaphlan_output	soil_ERR3761401_metaphlan_output	gut_3851QX_metaphlan_output	gut_3825KV_metaphlan_output	gut_3775ZT_metaphlan_output	gut_3219XI_metaphlan_output	gut_2874RA_metaphlan_output	gut_2569VO_metaphlan_output	gut_2360TL_metaphlan_output	gut_2221WA_metaphlan_output	gut_2025XZ_metaphlan_output	gut_1925KA_metaphlan_output	gut_1886QS_metaphlan_output	gut_1733CQ_metaphlan_output	gut_1680RO_metaphlan_output	gut_1574UD_metaphlan_output	gut_1469LP_metaphlan_output	gut_1421JE_metaphlan_output	gut_1124PD_metaphlan_output	gut_0782JV_metaphlan_output	gut_0477QJ_metaphlan_output	gut_0282ZU_metaphlan_output
s__Nitrososphaerales_unclassified_SGB122570	0	0	0	0	0	0	0	1046.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__GGB89632_SGB125949	0	0	0	0	0	0	0	0	0	0	0	0	0	344.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinobaculum_sp_oral_taxon_183	0	0	0	0	0	0	0	5711.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_graevenitzii	1456.0	0	0	0	53.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_sp_ICM47	1328.0	0	0	0	1182.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_sp_oral_taxon_448	0	0	0	3077.0	0	0	0	12238.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Schaalia_SGB17168	1151.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Schaalia_odontolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Alloscardovia_omnicolens	0	0	0	0	10540.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25408.0	0	0	0	0	0	0	15982.0	0	0	0	0	0	0	1242.0	0	0	0	0	207.0
s__Bifidobacterium_bifidum	0	0	0	0	2166.0	0	6510.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_breve	0	0	0	0	74085.0	0	14596.0	6374.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_catenulatum	0	0	0	0	84867.0	0	35638.0	2981.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_crudilactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2165.0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_longum	0	0	0	0	665107.0	2616.0	3287471.0	43931.0	0	0	0	0	0	0	1220.0	0	0	0	0	0	0	876.0	0	0	0	0	0	0	12362.0	0	0	0	0	0
s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1561.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Scardovia_inopinata	0	0	0	0	0	0	0	890.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_casei	0	0	0	0	0	0	8476.0	10801.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_efficiens	0	84.0	0	0	0	4450.0	4924.0	13478.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_gallinarum	868.0	1865.0	3196.0	2939.0	3660.0	48350.0	50821.0	117442.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_halotolerans	0	0	0	0	0	0	6611.0	161891.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_maris	0	0	0	677.0	0	0	0	2769.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_mucifaciens	0	0	0	0	0	0	0	587.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_sputi	0	0	0	0	0	0	7076.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_stationis	0	0	0	0	0	205.0	22379.0	36651.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_suranareeae	0	0	0	0	0	0	0	279.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Dietzia_aerolata	0	0	0	0	0	0	0	624.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Dietzia_aurantiaca	0	0	0	0	0	0	0	21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Dietzia_cinnamea	0	0	0	0	0	0	3355.0	11051.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Dietzia_kunjamensis	0	0	0	0	0	0	9288.0	41436.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Rhodococcus_sp_SGAir0479	0	0	0	0	0	0	895.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Georgenia_satyanarayanai	0	0	0	0	0	0	2260.0	1383.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Georgenia_subflava	0	0	0	0	0	0	0	52.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Oceanitalea_stevensii	0	0	0	0	0	0	17268.0	2923.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Brevibacterium_daeguense	0	0	0	0	0	0	222.0	305.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Brevibacterium_senegalense	0	0	0	0	0	0	0	312.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Brevibacterium_sp_CS2	0	0	0	0	0	0	3913.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Pseudactinotalea_suaedae	0	1116.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Brachybacterium_SGB87477	0	0	0	0	0	0	416.0	16027.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Brachybacterium_epidermidis	0	0	0	0	0	0	11199.0	5416.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Brachybacterium_massiliense	0	0	0	0	0	0	11658.0	46761.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Brachybacterium_paraconglomeratum	0	0	0	0	0	0	410700.0	59079.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Janibacter_anophelis	0	0	0	0	0	0	0	5099.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Janibacter_endophyticus	0	0	0	0	0	0	0	3569.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Flavimobilis_marinus	0	4508.0	0	0	0	0	4151.0	10819.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Flavimobilis_rhizosphaerae	0	0	0	0	0	0	0	40.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Agrococcus_lahaulensis	0	0	0	0	0	0	885.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Agrococcus_sp_KRD186	0	0	0	0	0	0	0	2708.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Agrococcus_sp_Marseille_Q4369	0	0	0	0	0	0	41801.0	2262.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Agromyces_sp_Soil535	0	0	0	0	0	0	0	0	0	0	0	0	1398.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Curtobacterium_sp_MCBA15_004	0	0	0	0	0	0	0	2463.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Leucobacter_chromiireducens	0	0	0	0	0	482.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Leucobacter_chromiiresistens	0	0	0	0	0	0	1551.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Leucobacter_sp_G161	0	0	0	0	0	0	0	0	0	0	0	0	936.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Leucobacter_sp_L43	0	0	0	0	0	0	3252.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Leucobacter_sp_cx_328	0	0	0	0	0	7623.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Leucobacter_sp_cx_42	0	0	0	0	0	82.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_aerolatum	0	0	0	0	0	0	3326.0	11747.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_arborescens	0	0	0	0	0	0	3209.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_oryzae	0	0	0	0	0	0	2696.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_oxydans	0	0	0	0	0	0	0	5083.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_paludicola	0	0	0	0	0	0	505.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_sp_AG238	0	0	0	0	0	0	48306.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_sp_Yaish_1	0	0	0	0	0	0	92.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_testaceum	0	0	0	0	0	0	0	1050.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Mycetocola_manganoxydans	0	669.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Salinibacterium_sp_dk5596	0	0	0	0	0	0	0	959.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_beigongshangensis	302.0	0	568.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_castelli	0	0	0	0	0	0	21821.0	5674.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_citreus	0	0	2633.0	0	547.0	0	1600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_crystallopoietes	3456.0	0	0	0	0	0	0	3978.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_gandavensis	38629.0	46932.0	24465.0	0	4414.0	0	194.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_koreensis	946047.0	5170.0	11624.0	0	0	9539.0	11767064.0	9241.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_saudimassiliensis	15848.0	0	0	79.0	0	0	410830.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_sp_BL_252_APC_1A	0	0	8388.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_sp_C9C5	0	0	0	0	0	0	0	0	0	0	0	94.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_sp_JUb119	0	785.0	0	0	0	3051.0	2172.0	1060212.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_sp_MYb221	93312.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_sp_Marseille_P9274	0	0	0	0	0	0	0	1410.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_sp_RIT_PI_e	0	17.0	0	0	0	0	360.0	22673.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_sp_SF27	4715.0	0	0	0	0	0	0	66.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_sp_zg_Y820	0	329.0	95.0	0	95.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Citricoccus_muralis	0	0	0	0	0	0	0	5328.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Citricoccus_sp_CH26A	0	0	0	0	0	0	8229.0	11304.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Citricoccus_sp_K5	0	0	0	0	0	0	0	10831.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Citricoccus_zhacaiensis	0	0	0	0	0	0	2839.0	37107.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Enteractinococcus_coprophilus	0	0	0	395.0	0	0	0	1670.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__GGB42949_SGB60172	0	0	0	872.0	0	0	0	2598.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__GGB71781_SGB98749	0	0	0	0	0	0	442.0	4151.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__GGB71800_SGB98783	0	0	0	0	0	0	0	6527.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Glutamicibacter_ardleyensis	0	94698.0	1599.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Glutamicibacter_arilaitensis	0	0	0	0	0	142033.0	21197.0	181965.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Glutamicibacter_creatinolyticus	0	0	0	1007.0	0	0	5436.0	16748.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Glutamicibacter_mishrai	0	0	0	0	0	0	0	4530.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Glutamicibacter_nicotianae	0	0	0	0	0	0	0	8909.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Glutamicibacter_protophormiae	0	0	0	0	0	0	0	287453.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Glutamicibacter_soli	0	14918.0	0	0	0	0	1064.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_SGB98773	0	0	7793.0	0	898.0	32111.0	419625.0	151490.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_carniphila	0	0	15197.0	0	0	0	0	196.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_flava	0	0	0	673.0	0	0	50945.0	26694.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_indica	0	0	0	0	0	0	3604.0	14643.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_palustris	0	0	0	0	0	7058.0	43630.0	44314.0	0	203.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_polaris	0	110.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_rosea	1665.0	143471.0	3389.0	15788.0	2387.0	3602.0	1405621.0	422384.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_sediminis	0	303.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_varians	0	0	0	0	8438.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Micrococcus_SGB98781	0	0	0	0	0	0	2042.0	1056.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Micrococcus_endophyticus	0	0	0	0	0	0	27678.0	51291.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Micrococcus_luteus	0	0	0	0	0	0	1413.0	5758.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Nesterenkonia_massiliensis	0	0	0	0	0	0	27871.0	20166.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Nesterenkonia_sp_JCM_19054	0	0	0	0	0	0	3211.0	1902.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Paeniglutamicibacter_sp_ABSL32_1	4458.0	10910.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Rothia_mucilaginosa	15781.0	11561.0	70817.0	184383.0	15270.0	2774.0	0	26274.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Timonella_senegalensis	0	0	0	0	0	0	0	1078.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Ornithinimicrobium_pratense	0	1844.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Ornithinimicrobium_sp_HY006	0	0	0	0	0	0	0	4128.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Ornithinimicrobium_sp_JY_X269	0	0	0	0	0	0	0	215.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Cellulosimicrobium_cellulans	0	0	0	0	0	0	163973.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Isoptericola_sp_NEAU_Y5	0	0	0	0	0	0	4590.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Promicromonospora_umidemergens	0	7103.0	0	0	0	0	0	1270.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Sanguibacter_inulinus	0	0	0	0	0	0	509672.0	160.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Sanguibacter_keddieii	0	20168.0	0	0	0	0	653.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Catelliglobosispora_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	71.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kribbella_sp_VKM_Ac_2527	0	0	0	0	0	0	0	0	0	0	0	0	1414.0	3587.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Nocardioides_massiliensis	0	0	0	0	0	0	0	1535.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__GGB49357_SGB69260	0	0	0	21125.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Tessaracoccus_rhinocerotis	0	0	0	0	0	0	0	4866.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Halosaccharopolyspora_lacisalsi	0	0	0	0	0	0	44729.0	10260.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Streptomyces_albidoflavus	0	0	0	0	0	0	68958.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Nocardiopsis_algeriensis	0	0	0	0	0	0	0	421.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Nocardiopsis_alkaliphila	0	0	0	0	0	0	0	839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Nocardiopsis_halotolerans	0	0	0	0	0	0	0	936.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
